november,,ÜGY,ÜGY2,UH,UH2,BIOP,IR,ITO/rtg,CT,CT2,oktat/vizsga,mri
1,k,DO,,,,,,,,,,
2,sze,FK,,FK,SH,DO/BA,,DO/SD,DO/KD,DO,,
3,cs,DP,,FK,JÁ,DP/KD,DP/KD,DP/SD,DO/BA,DO/SH,KA,
4,p,DO,KG,KG,JÁ,DP/SH,,DP/SD,KA/BA,KA/KD,,FK
5,szo,DO,KG,,,,,,,,,
6,v,FK,KG,,,,,,,,,
7,h,OÉ,KG,DP,KD,HE/SH,KA/BA,FLZS/SD,OÉ/SZA,FK,,
8,k,KA,BA,OÉ,JÁ,KA/BA,DP/DO,HE/SD,NA/SZA,FLZS/KD,FLZS,
9,sze,FK,,HE,KD,DO,DO/BA,OÉ/SH,FK/SZA,OÉ/SD,,
10,cs,FK,KD,KA,JÁ,DO/BA,DP/DO,DP/SD,FLZS/KD,FK/SH,KA,
11,p,KA,BA,KG/DO,JÁ,DO/SH,DO/BA,DO/SD,FK/SZA,FK/KD,,FLZS
12,szo,KA,,,,,,,,,,
13,v,DO,BA,,,,,,,,,
14,h,OÉ,KG,DP,KD,FK/BA,DO/KA,KA/SD,OÉ/SZA,FK/SH,,
15,k,KA,KD,OÉ,JÁ,KA/BA,DP/DO,HE/SD,NA/SZA,FLZS/KD,FLZS,
16,sze,FK,,FK,KD,DO/SH,DO/BA,FLZS/SD,OÉ/SZA,HE,,
17,cs,DP,BA,KA,JÁ,DO/BA,DP/DO,DP/SD,FK/KD,FLZS/SH,KA,
18,p ,KA,KD,KG/DO,JÁ,DP/KD,DP/BA,DP/SD,HE/SZA,HE/SH,,HE
19,szo,HE,KD,,,,,,,,,
20,v,HE,KD,,,,,,,,,
21,H,DO,BA,DP,KD,HE,DO/BA,HE/SD,KA/SZA,DO/SH,,
22,K,DO,,OÉ,BA,KA,DO/DP,DP/SD,NA/SZA,HE/KD,FLZS,
23,SZE,HE,,HE,KD,DO,DO/BA,DO/SD,OÉ/SZA,FLZS/SH,,
24,cs,DP,,FLZS,SH,DP/BA,,DP/SD,DP/BA,OÉ,KA,
25,p,HE,,KG,SH,DP,,DP/SD,HE/SZA,HE/BA,,FLZS
26,szo,DP,,,,,,,,,,
27,v,DP,,,,,,,,,,
28,H,DO,,DP/FK,KD,HE/FK,KA/BA,KA/SD,HE/SZA,BA/SH,,
29,K,KA,,OÉ,BA,KA/KD,DP,HE/SD,NA/SZA,FLZS/KD,FLZS,
30,SZ,HE,,HE,KD,DO/BA,DO/BA,FLZS/SD,FK/SZA,OÉ/SH,,
,,ÜGY,ÜGY2,UH,,BIOP,IR,ITO/rtg,CT,CT2,oktat/vizsga,CEUS
,,ÜGY,ÜGY2,,,,,,,,,
